mean_elevation (m),mean_slope,mean_precipitation (mm),imperviousness,"flooded (yes =1, no =0)",distance_to_drainage (m)
919.59,14.1,0,0,0,384.75
855.17,10.9,0,0,0,0
877.87,10.46,0,0,0,4.14
878.23,10.37,6.13,0,0,0
892.59,16.05,12.25,0,0,234.78
892.11,14.28,12.25,0,0,189.19
898.37,17.03,11.8,0,0,5.22
832,18.86,12.25,0,0,11.52
830.5,11.72,12.25,0,0,0
854.02,22.96,12.25,0,0,7.6
831.5,9.94,12.25,0,0,7.68
860.67,14.26,12.25,0,0,145.44
852.57,15.35,12.25,0,0,26.38
99.11,17.45,14.85,0,0,0
99,15.3,14.85,0,0,0
95,18.67,14.85,0,0,0
128.31,18.31,14.68,0,0,3.83
48.4,10.32,16.88,0,0,7.8
39,4.48,16.88,0,0,0
43,12.22,16.88,0,0,7.15
41.5,17.89,16.88,0,0,7.17
39.5,11.24,16.88,0,0,0
39,16.74,16.88,0,0,4.64
36.5,14.87,16.88,0,0,0
95.67,10.2,14.86,0,0,0
108.64,19.7,14.69,0,0,10.08
64.33,16.97,14.86,0,0,0
84.93,17.43,14.69,0,0,0
38.15,12.64,14.6,0,0,0
51.85,14.72,14.6,0,0,11.06
1238.43,39.75,0,0,0,0
30.5,3.21,33.35,0,0,0
32,9.41,33.35,0,0,13.91
56,11.82,14.86,0,0,3.94
55.52,13.6,14.86,0,0,13.82
34.75,3.58,14.86,0,0,8.32
35.5,2.98,14.86,0,0,0
32,5.41,14.86,0,0,0
38.35,5.74,14.86,6,0,6.73
34,8.37,14.86,0,0,6.19
31,7.8,14.86,0,0,0
38.86,8.06,14.86,3,0,16.91
34.5,7.31,14.86,0,0,0
677.56,30.12,12.29,0,0,460.55
332.38,24.1,12.55,0,0,0
534.74,54.41,12.55,0,0,3.8
71.5,10.61,12.55,0,0,20.58
225.22,30.93,12.55,0,0,20.9
923.97,19.37,8.14,0,0,0
974.9,23.44,0,0,0,0
901.1,9.71,0,0,0,0
941,21.11,0,0,0,0
956.59,19.07,8.14,0,0,218.81
843.64,25.85,16.29,0,0,379.11
810.82,23.44,16.29,0,0,39.6
912.17,13.5,16.29,0,0,177.95
953.16,31.88,0,0,0,135.25
983.08,17.66,5.43,0,0,171.12
141.43,19.72,12.53,0,0,157.36
83.6,31.54,12.53,0,0,124.93
105.92,33.66,12.53,0,0,59.9
128.79,43.56,12.53,0,0,237.79
79.63,25.73,12.51,0,0,136.04
86.33,27.65,12.51,0,0,93.17
69.7,16.44,12.51,0,0,31.27
72.55,13.1,12.53,0,0,21.63
75.54,10.84,12.51,0,0,18.28
71.56,9.08,12.51,0,0,49.07
70.8,4.81,12.51,0,0,26.37
92.2,31.44,12.51,0,0,80.04
82,21.61,12.51,0,0,16.01
80.4,7.96,12.51,0,0,5.16
74.25,5.68,12.51,0,0,9.77
85.79,18.19,12.51,0,0,19.93
117.63,42.28,12.51,0,0,33
161.11,18.97,12.51,0,0,237.58
151.13,41.93,12.51,0,0,134.69
150,22.48,12.53,0,0,189.57
159.86,20.79,12.51,0,0,170.31
172.36,46.69,12.51,0,0,30.81
235.84,27.63,12.51,0,0,254.37
16.13,6.05,16.14,0,0,9.74
23.57,7.8,24.48,0,0,99.86
71.5,4.34,12.51,0,0,13.06
73,5.25,12.51,0,0,7.06
20.13,7.81,32.34,0,0,255.83
25.62,8.71,32.34,0,0,4.36
27.15,7.82,32.34,0,0,130.47
23.08,4.96,32.34,0,0,206.22
23,4.35,32.34,0,0,96.61
26.38,6.53,32.34,0,0,329.36
24,3.93,30.91,0,0,82.47
23,7.41,24.48,0,0,78.18
11.11,6.46,32.34,0,0,10.88
26.43,5.7,16.61,0,0,153.31
24.69,5.05,16.61,0,0,115.94
22.75,3.21,16.61,0,0,293.6
26.43,7.24,16.61,0,0,150.93
34.17,11.07,16.61,0,0,198.45
31.2,9.75,16.61,0,0,236.51
25.8,6.49,24.48,0,0,0
27.2,8.96,16.61,0,0,115.08
23,3.53,32.34,0,0,36.69
27.19,4.35,24.48,0,0,113.24
26.73,9.99,24.48,0,0,123.81
26.8,6.46,32.34,0,0,60.95
36.75,12.94,32.34,0,0,314.75
34,5.96,32.34,0,0,349.56
1080.62,26.32,10.22,0,0,328.92
1034.55,21.55,10.22,0,0,0
828.94,12.73,15.17,0,0,262.1
900.77,12.07,8.3,0,0,67.2
837.83,12.22,17.22,0,0,144.43
775.27,13.83,17.22,0,1,48.4
661.66,25.02,19.88,0,0,0
675.02,30.79,20.46,0,0,0
697.83,12.26,20.46,0,0,285.32
764.89,33.28,20.46,0,0,286.63
1074.56,34.62,0,0,0,514.9
747.79,22.74,10.83,0,0,57.48
666.89,10.27,20.46,0,0,0
596.96,23.41,26.39,0,0,455.27
1125.5,38.1,0,0,0,98.29
693.48,21.52,20.46,0,0,261.84
692.27,26.39,20.46,0,0,198.19
680.13,47.24,20.46,0,0,209.27
1793.23,12.82,7.76,0,0,0
1792,12.99,7.76,0,0,19.03
1802.57,29.61,7.76,0,0,19.03
1820.08,31.5,7.76,0,0,78.83
1819.42,38.01,7.76,0,0,33.13
1854.4,22.8,7.76,0,0,137.78
1854.36,28.39,7.76,0,0,5.77
1117.75,27.45,0,0,0,43.07
751.09,18.71,10.83,0,0,51.96
746,20.17,10.83,0,0,4.45
750,12.52,10.83,0,0,116.75
834.62,23.22,10.83,0,0,4.59
760.82,25.02,10.83,0,0,95.61
909.71,15,11.61,0,0,0
962.46,19.64,11.61,0,0,372.23
937.88,15.32,11.61,0,0,590.31
924.91,15.16,11.61,0,0,0
967.33,35.29,11.61,0,0,687.3
977.4,19.74,11.61,0,0,689.06
957.04,24.14,11.22,0,0,458.48
885.55,10.1,10.83,0,0,0
890,17.41,10.83,0,0,86.32
828.45,19.61,11.22,0,0,0
903,15.14,11.61,0,0,8.14
992.6,13.71,11.61,0,0,623.36
1216,60.59,0,0,0,164.33
1008.02,23.69,14.78,0,0,133.02
979.75,18.34,14.78,0,0,29.64
755.64,15.06,10.83,0,0,100.76
750.43,18.99,10.83,0,0,259.69
832.43,39.5,11.22,0,0,187.11
820.21,15.97,10.83,0,0,337.08
779.07,11.83,10.83,0,0,0
769,17.07,0,0,0,103.2
702.67,15.54,0,0,0,0
1037.2,27.49,10.03,0,0,109.39
744.89,11.06,0,0,0,0
932.05,18.51,7.57,0,0,544.17
911,30.53,7.57,0,0,638.89
928,21.03,8.14,0,0,765.08
833.9,13.88,7.57,0,0,656.1
831.98,30.85,0,0,0,0
878.6,25.32,11.61,0,0,265.49
821.92,17.85,11.61,0,0,307.23
882.35,23.03,0,0,0,109.21
918.6,27.68,0,0,0,190.08
839.8,22.21,0,0,0,0
761.84,25.55,16.77,0,0,243.54
1541.25,44.64,16.36,0,0,406.83
1521,52.28,16.36,0,0,401.25
1511.1,45.61,16.36,0,0,323.13
1484.63,16.16,16.36,0,0,228.75
909.2,28.23,0,0,0,55.77
914.43,25.63,7,0,0,695.86
889.8,27.73,7,0,0,945.31
871.9,36.39,9.81,0,0,353.9
831.44,28.05,10.83,0,0,94.99
897,25.16,7,0,0,11.52
942.7,17.12,7,0,0,37.28
592.6,18.68,8.3,0,0,77.91
591.45,12.84,8.3,0,0,0
919.89,40.57,11.18,0,0,8.89
22.83,4.37,15.85,0,0,9.35
17,4.08,16.43,0,0,0
36.32,5.74,16.07,0,0,234.29
96.96,10.79,16.43,0,0,334.11
43.46,8.15,17.14,0,0,38.43
123.01,25.76,14.6,0,0,22.26
38.2,5.33,17.14,0,0,0
37,4.32,17.14,0,0,3.81
37.67,4.67,17.14,0,0,2.5
38,6.49,17.14,0,0,3.6
38.75,12.22,17.14,0,0,3.32
38.33,17.55,17.14,0,0,6.36
29,16.38,17.14,0,0,90.25
31.67,20.53,17.14,0,0,143.44
658.47,28.46,12.25,0,0,354.09
657.62,32.13,12.38,0,0,0
24.8,8.19,17.14,0,0,323.38
33.58,7.43,17.14,0,0,192.39
33,6.68,17.14,0,0,270.38
35.6,5.08,17.14,0,0,130
36.75,6.45,17.14,0,0,96.16
22.85,12.64,17.14,0,0,171.06
22.14,13.34,17.14,0,0,317.84
24,17.33,17.14,0,0,225.69
22.37,12.49,17.14,0,0,254.77
20.33,9.71,17.14,0,0,249.28
25,10.78,17.14,0,0,89.63
32,7.43,17.14,0,0,23.31
47.39,10.52,26.09,0,0,0
61.8,13.81,28.2,0,0,88.36
48.57,6.13,27.51,0,0,7.73
60.13,12.15,24.84,0,0,3.73
66.29,10.67,24.84,0,0,5.87
63.23,10,24.84,0,0,0
69.17,6.91,24.84,0,0,4.42
71.1,13.52,26.78,0,0,2.13
73.12,12.59,28.73,0,0,129.13
58.38,14.28,28.73,0,0,71.9
45,11.7,28.73,0,0,0
43,10.13,28.73,0,0,4.65
41.5,18.57,28.73,0,0,0
40,5.85,28.73,0,0,0
40,11.59,28.73,0,0,0
53.6,9.59,28.73,0,0,6.51
52.83,12.88,28.73,0,0,21.01
44.36,8.66,28.73,0,0,2.05
60.7,7.71,28.73,0,0,147.39
72.84,9.38,28.73,0,0,351.99
57.82,11.13,24.84,0,0,0.08
44,17.78,27.35,0,0,0
44.56,11.36,27.35,0,0,0
76.57,12.08,26.09,0,0,282.4
41,4.22,34.57,0,0,10.81
42,9.23,34.57,0,0,0
43.67,7.58,34.57,1,0,25.6
40.5,5.59,34.57,0,0,0
44,4.59,28.73,0,0,0
45.68,8.98,21.31,0,0,5.5
44.67,8.37,28.73,5,0,13.47
46.5,2.64,28.73,0,0,0
59.33,9.81,13.9,0,0,10.5
43,10.35,13.9,0,0,0
41.5,8.65,13.07,0,0,6.27
44,5.06,13.9,0,0,6.27
47,10.89,13.9,0,0,7.78
49,2.87,28.73,0,0,12.8
63.26,10.01,34.57,0,0,0
45,10.95,28.73,0,0,0
58.61,12.61,28.73,0,0,280.74
58.15,9.55,28.73,0,0,13.85
38,4.13,28.73,0,0,0
47.63,9.36,13.9,0,0,211.4
38.33,5.51,28.73,0,0,12.57
58.09,11.06,13.9,0,0,370.17
43.5,6.92,13.9,0,0,186.68
50.5,9.73,12.24,0,0,188.52
45.17,8.26,12.24,0,0,87.48
70.33,10.5,12.24,0,0,584.38
36.96,8.18,28.73,0,0,189.64
45.36,16.17,13.9,0,0,7.05
51,10.82,13.9,0,0,0
42.45,4.77,28.73,0,0,4.41
40.5,3.1,28.73,0,0,0
38.48,8.19,13.07,0,0,14.48
74.92,12.93,23.41,0,0,200.27
55.13,8.16,25.18,0,0,0
42.46,9.8,29.44,0,0,3.8
40.33,3.65,29.44,0,0,0
55.8,9.44,29.44,0,0,30.3
44,6.32,34.57,0,0,0
52.39,13.96,34.57,0,0,0
55.85,12.02,33.11,0,0,0
50,11.01,31.65,0,0,0
52.59,6.62,30.53,0,0,1.13
66.48,11.52,34.57,0,0,87.99
56.19,5.13,31.65,0,0,75.78
61.39,5.23,31.65,0,0,237.16
53.81,5.7,31.65,0,0,0
48.75,10.81,30.53,0,0,235.56
47.47,6.12,30.53,0,0,374.2
44.66,10.25,30.53,0,0,0
48.33,9.07,34.57,0,0,0
58.92,8.74,34.57,0,0,0
50.69,6.16,30.55,0,0,24.16
45.81,8.75,31.55,0,0,25.52
60.69,8.99,34.57,0,0,7
66.02,12.2,33.11,0,0,11.14
26,3.43,16.61,0,0,206.39
21.93,4.37,16.61,0,0,50.66
62.76,7.2,31.65,0,0,24.57
53.33,5.8,31.65,0,0,0
64.69,6.37,31.65,0,0,6.41
52,6.81,31.65,0,0,0
59.79,6.96,31.65,0,0,6.39
50,3.63,31.65,0,0,0
75.86,12.83,13.61,0,0,174.69
71.5,6.27,13.61,0,0,0
75,16.2,13.61,0,0,5.42
103.55,16.87,13.61,0,0,24.48
57.2,12.76,34.57,0,0,201.76
59.39,7.87,31.65,0,0,220.02
59.39,10.79,31.65,0,0,0
72.24,7.04,33.11,0,0,223.42
60.89,8.89,31.65,0,0,4.45
51.73,7.99,34.57,0,0,0
64.44,8.04,34.57,0,0,0
72.33,12.86,13.61,0,0,0
68,8.21,13.61,0,0,1.11
74.45,10.52,12.24,0,0,392.73
118.64,26.17,12.92,0,0,13.96
99.39,16.24,23.41,0,0,62.22
43.67,8.64,34.57,0,0,0
41,9.67,34.57,0,0,15.56
41.5,6.4,34.57,0,0,5.82
43,6.9,34.57,0,0,0
9.67,3.7,15.7,0,0,0
17.56,4.93,15.7,2,0,36.67
17,3.95,15.7,0,0,0
14.92,4.51,15.09,15,0,181.53
1324.77,47.14,0,0,0,272.98
1318.9,26.89,0,0,0,148.05
80.84,10.09,12.24,0,0,400.08
69.56,12.81,12.24,0,0,467.08
529.44,30.53,12.92,0,1,455.64
81.24,16.5,10.94,0,0,43.98
105.18,18.03,11.59,0,0,61.68
54.67,25.87,10.94,0,0,0
65.67,26.54,10.94,0,0,23.43
91.22,12.83,11.59,0,0,36.59
31,16.67,32.34,0,0,1.96
31,18.27,32.34,0,0,0
30.92,9.48,32.34,0,0,13.63
19.64,7.12,32.34,0,0,11.47
9,1.55,32.34,0,0,0
12.11,5.66,32.34,0,0,0
53.33,13.14,25.08,0,0,2.65
58.75,24.33,25.08,0,0,131.77
71.23,39.7,25.08,0,0,4.41
772.82,16.15,0,0,0,174.24
663.78,12.36,0,0,0,7.34
673.75,24.29,19.63,0,0,15.01
534.52,7.43,12.54,0,0,0
526.33,9.79,0,0,0,0
525,7.04,0,0,0,19.2
549.5,8.19,31.06,0,0,0
528.33,14.84,25.08,0,0,17.96
529.33,10.14,25.08,0,0,77.94
653,5.13,0,0,0,0
654.5,10.31,0,0,0,3.22
644.28,37.38,0,0,0,88.39
65.36,15.35,25.08,0,0,137.32
330.25,31.7,29.44,0,0,1130.28
719.58,34.7,29.44,0,1,496.21
598.63,31.9,27.26,0,0,173.17
132.8,24.89,25.08,0,0,0
269.5,30.7,29.44,0,0,3.5
355.1,24.43,29.44,0,0,0
577.29,52.46,23.34,0,0,663.93
521.62,31.79,23.34,0,0,635.54
644.04,20.65,29.44,0,0,101.19
539.26,25.28,29.44,0,0,25.74
205.29,30.08,29.44,0,0,291.69
518.24,37.13,29.44,0,0,4.21
530.85,40.18,26.39,0,0,103.85
645.36,24.94,26.39,0,0,728.87
644.55,15.56,26.39,0,0,704.52
618.4,17.23,11.67,0,0,0
695.9,22.55,26.39,0,0,377.05
1046.46,9.93,0,0,0,617.91
1057.39,12.89,0,0,0,691.54
981.16,17.16,0,0,0,8.03
1038.79,13.83,0,0,0,328.27
1018.55,15.83,0,0,0,333.18
1042.94,11.21,0,0,0,415.87
1037.28,12.76,0,0,0,344.91
970.14,17.57,0,0,0,66.2
1002.76,21.2,0,0,0,120.97
997.89,15.48,0,0,0,0
1031.15,12.54,0,0,0,454.16
1029.2,12.01,0,0,0,621.65
992.95,9.77,0,0,0,0
1027.12,14.43,0,0,0,0.72
1039.71,7.94,0,0,0,98.79
996.41,12.55,0,0,0,0
60.39,17.63,31.65,0,0,10.41
46,5.23,31.65,0,0,0
62.2,7.67,31.65,0,0,89.7
68.4,10.94,31.65,0,0,560.42
63.09,9.05,31.65,0,0,0
69.33,13.51,31.65,0,0,330.2
68.16,17.46,31.65,0,0,327.96
58.6,4.44,31.65,0,0,224.28
70.31,11.05,31.65,0,0,534.32
426,7.38,31.06,0,0,647.05
433.94,13.35,31.06,0,0,51.77
431.41,11.77,31.06,0,0,1027.81
439.73,18.36,31.06,0,0,1372.47
431.42,13.53,31.06,0,0,0
422.29,13.55,26.71,0,0,0
506.8,18.37,31.06,0,0,12.02
675.14,8.12,31.06,0,0,75.64
649.94,16.29,26.71,0,0,0
622,31.78,22.37,0,0,38.3
614.88,45.34,31.06,0,0,75.6
585.79,23.63,31.06,0,0,11.16
560.22,31.77,31.06,0,0,0
523,18.17,31.06,0,0,0
522.21,23.07,31.06,0,0,0.5
582.7,21.44,26.71,0,0,0
22,7.03,16.84,0,0,81.82
20,4.96,16.54,0,0,105.61
20.33,5.6,16.54,0,0,58.63
28.25,10.36,17.14,0,0,359.7
26.5,6.08,17.14,0,0,328.45
34.57,10.71,17.14,0,0,137.61
78.13,16.9,16.56,0,0,343.01
723.62,21.82,10.83,0,0,0
695.13,22.04,8.3,0,1,246.29
636.91,17.14,9.56,0,0,116.13
597,31.19,9.56,0,0,10.48
814.66,16.55,9.56,0,0,593.45
779.78,20.32,4.15,0,0,0.8
758.56,27.4,4.15,0,0,117.17
765.93,27.71,5.48,0,0,11.35
923.15,24.35,8.14,0,0,620.65
801.89,16.48,10.83,0,0,0.37
744.14,13.2,10.83,0,0,126.97
693.49,19.68,10.83,0,0,0
783.75,24.72,10.83,0,0,0
732.42,21.59,10.83,0,0,0
817.05,23.87,10.83,0,0,82.2
728.09,20.13,10.83,0,0,0
714.34,27.28,10.83,0,0,26.41
137.38,30.08,11.49,0,0,0
255.75,38.78,11.49,0,0,0
317.57,31.34,11.49,0,0,351.24
668.19,27.54,11.87,0,0,314.05
610.09,23.72,11.87,0,0,279.65
568.08,36.02,12.25,0,0,0
626.56,36.63,12.25,0,0,5.97
67.79,12.49,11.49,0,0,135.95
116.06,32.62,11.49,0,0,39.91
656.42,20.58,12.25,0,0,725.28
287.97,17.75,12.25,0,0,21.74
295.41,15.07,12.25,0,0,0
329.84,20.4,12.25,0,0,5.51
198.09,23.66,12.25,0,0,44.63
41.69,12.76,28.73,0,0,92.86
66.32,18.01,27.67,0,0,0
34,13.04,28.73,0,0,30.48
61,9.96,28.73,0,0,454.91
46.83,9.88,28.73,0,0,0
47,13.1,28.73,0,0,12.93
48.19,11.31,28.73,0,0,3.54
47,4.48,28.73,0,0,20.91
93,4.05,24.84,0,0,241.56
62.37,22.78,26.78,0,0,61.86
50,15.05,28.73,0,0,10.78
47,16.2,28.73,0,0,2.63
43,8.96,28.73,0,0,12.77
41.5,7.4,28.73,0,0,0.43
40,4.93,28.73,0,0,11.93
40,8.26,28.73,0,0,0.03
56,7.69,28.73,0,0,329.55
51.5,9.01,28.73,0,0,336.36
38,16.54,28.73,0,0,0
49.75,23,28.73,0,0,3.75
53,28.92,28.73,0,0,0
51.62,21.79,28.73,0,0,5.3
47,5.79,28.73,0,0,8.68
47,7.62,28.73,0,0,0
40,5.29,27.35,0,0,3.34
40.58,8.51,28.2,0,0,5.05
34,17.35,28.73,0,0,0
51,6.95,28.2,0,0,523.34
41,2.43,28.73,0,0,3.76
41,7.45,27.35,0,0,4.76
44.14,9.69,27.35,0,0,0
37,15.27,27.35,0,0,0
45.04,13.14,26.97,0,0,0
42.5,7.79,27.35,0,0,0
38.17,13.04,27.35,0,0,6.15
36,13.19,27.35,0,0,0
55.51,10.45,24.84,0,0,0
93.42,11.09,12.24,0,0,143.39
84.14,10.82,12.24,0,0,28.47
89.94,13.05,12.24,0,0,12.03
97.58,11.9,12.24,0,0,0
40.67,12.25,10.94,0,0,0
51,16.4,10.94,0,0,39.58
46.6,14.7,10.94,0,0,27.1
63.14,21.63,10.94,0,0,17.26
68,12.77,11.51,0,0,2.21
96.44,32.45,11.22,0,0,25.34
181.14,41.78,12.55,0,0,681.64
423.71,30.55,13.61,0,0,241.39
367.61,34.03,13.61,0,0,132.91
77.67,10.66,11.51,0,0,0
85.05,17.21,11.51,0,0,0
159.24,21.85,11.51,0,0,208.58
309.02,41.33,12.56,0,0,518.38
361.43,25.15,11.87,0,0,12.94
111.4,18.76,11.51,0,0,41.31
521.42,43.68,12.55,0,0,353.79
602.14,30.36,12.55,0,0,371.34
458.88,48.89,12.55,0,0,880.37
407.41,38.53,12.55,0,0,737.19
523.07,43.63,12.55,0,0,539.21
410.28,44.9,13.61,0,0,780.7
412.32,31.71,12.45,0,1,98.15
878.65,37.99,7.57,0,0,60.7
974.43,11.6,7,0,0,100.28
856.6,24.14,7.57,0,0,0
856.05,15.97,8.14,0,0,55.63
821.83,21.83,8.14,0,0,116.51
964.78,17.91,7.57,0,0,21.14
79.71,9.19,13.78,0,0,256.8
75.29,10.3,13.78,0,0,4.21
141.68,39.48,10.94,0,0,18.8
69.67,13.59,13.78,0,0,0
75.72,8.52,12.36,0,0,0
507.32,37.97,10.94,0,0,727.23
103.41,12.96,10.94,0,0,497.07
238.42,30.81,10.94,0,0,555.99
179.51,27.94,10.94,0,0,383.5
947.31,20.14,8.61,0,0,0
920.77,18.89,7.57,0,0,0
937.25,14.62,8.61,0,0,0
894.41,25.49,7,0,0,0
992.93,15.57,7,0,0,1.48
812.87,21.74,7,0,0,0
1018.77,11.21,7,0,0,8.13
1103.18,30.41,8.45,0,0,331.24
998.43,22.41,8.14,0,0,1519.81
978.67,18.41,8.14,0,0,1388.1
971.04,16.62,8.14,0,0,1258.94
568.67,9.92,0,0,0,0
569,11.35,0,0,0,5.74
614.1,18.84,11.19,0,1,0
618,4.05,0,0,0,0
567.5,6.35,0,0,0,0
559.24,12.93,0,0,0,0
550.5,10.71,0,0,0,0
550,4.17,0,0,0,7.64
583.22,34.96,0,0,0,8.89
540.5,3.79,0,0,0,0
541.5,10.29,0,0,0,7.51
552.22,11.42,0,0,0,18.72
551.63,20.15,0,0,0,14.66
544.5,10.61,0,0,0,0
704.29,23.36,5.24,0,0,30.64
823.54,30.79,5.24,0,0,0
661.24,20.33,0,0,0,0
563.82,16.37,0,0,0,82.8
542,13.83,0,0,0,15.41
540.33,2.5,0,0,0,0
544.13,9.17,0,0,0,29.83
540.25,6.77,0,0,0,0
542.25,8.47,0,0,0,20.21
559.54,21.95,5.24,0,0,0
603.12,14.45,0,0,0,19.92
611.35,22.79,0,0,0,2.78
640.39,22.01,18.71,0,0,0
1121.81,25.33,8.14,0,0,1484.31
996.02,23.87,8.14,0,0,1264.77
876.14,21.57,8.14,0,0,753.75
946.1,15.55,8.14,0,0,1441.62
1045.55,13.24,8.14,0,0,1441.55
1020.1,25.26,8.14,0,0,1193.53
1031.83,10.96,8.14,0,0,1098.33
1042.09,15.95,0,0,0,0
906.35,12.47,0,0,0,4.33
919.63,11.34,0,0,0,0
967.17,10.75,0,0,0,44.42
924.16,13.5,0,0,0,0
985.11,12.14,0,0,0,0
901.3,11.26,0,0,0,50.15
925.05,18.69,0,0,0,0
886.07,5.54,0,0,0,10.35
25.5,5.56,27.67,0,0,348.01
31.23,8.87,27.67,0,0,353.09
39,19.87,27.35,0,0,0
42,12.09,27.35,0,0,0
39.43,10.86,27.35,0,0,4.82
37,12.82,27.35,0,0,0
39,19.87,27.35,0,0,5.59
44,5.65,15.64,0,0,0
39.61,7.03,21.49,0,0,3.68
31,9.86,27.67,0,0,1165.61
34,8.11,27.35,0,0,0
42.14,9.11,25.45,8,0,3.5
39.84,11.45,27.35,0,0,0
7,6.71,17.01,5,0,207.05
1034.09,11.57,0,0,0,401.83
1052.05,20.55,0,0,0,42.76
1073.67,10.44,0,0,0,439.47
1043.4,9.59,0,0,0,304.35
887.67,12.07,0,0,0,0
927.19,19.38,0,0,0,169.21
1701,21.01,0,0,0,193.87
1582.59,13.31,0,0,0,0
1611.48,26.15,0,0,0,135.54
59.33,11.98,11.51,0,0,115.71
48.05,16.76,11.51,0,0,0
59.83,4.07,11.51,0,0,80.42
49.69,8.53,10.94,0,0,2.13
50.1,19.3,10.94,0,0,42.4
617.25,10.01,0,0,0,9.94
618,18.65,0,0,0,0
688.91,31.28,0,0,0,6.97
697.72,11.15,5.24,0,0,0
533,3.83,0,0,0,0
535.33,11.05,0,0,0,13.91
541,6.15,0,0,0,0
540.14,12.57,0,0,0,12.83
534,8.36,0,0,0,3.61
541.33,11.77,0,0,0,9.43
652.5,39.98,0,0,0,4.92
773.31,32.51,0,0,0,65.36
716.43,17.05,11.19,0,0,263.99
639.71,26.26,11.19,0,0,65.7
717.15,27.94,12.25,0,0,728.48
775.81,13.16,12.25,0,0,745.79
778.11,16.78,23.34,0,0,469.11
770.04,19.15,23.34,0,0,70.57
571.71,17.44,23.34,0,0,775.45
736.31,15.01,23.34,0,0,0
747.38,22.1,23.34,0,0,314.02
724.07,29.16,20.46,0,0,0
71.25,10.79,13.78,0,0,60.24
32,19.39,17.14,0,0,44.44
639.34,23.27,0,0,0,0
564.31,6.65,0,0,0,399.85
570.48,8.25,0,0,0,89.14
691.76,14.82,17.31,0,0,381.13
744.74,18.3,20.46,0,0,0
639.72,8.62,17.59,0,0,5.85
644.53,9.84,17.59,0,0,17.77
668.84,26.99,17.59,0,0,44.09
715.59,13.52,17.59,0,0,448.22
674.83,19.87,17.59,0,0,232.64
820.93,21.32,17.59,0,0,537.74
756.44,15.8,17.59,0,0,171.2
659,19.41,21.16,0,0,570.85
679.16,29.13,19.24,0,0,509.17
670.6,15.8,21.16,0,0,624.64
635.74,29.01,17.59,0,0,864.81
610.37,25.22,17.31,0,0,380.29
624.75,38.07,19.24,0,0,6.42
622,22.38,21.16,0,0,149.19
620.82,15.19,21.16,0,0,507.57
657.44,12.85,21.16,0,0,571.86
664,17,21.16,0,0,621.57
637.37,20.59,21.16,0,0,160.76
639.08,24.14,21.16,0,0,147.31
632.5,19.11,19.37,0,0,318.99
35.4,1.88,16.54,0,0,178.21
33.5,9.29,16.54,0,0,185.83
38.5,3.49,16.54,0,0,189.75
31,7.22,16.54,0,0,263.56
1055.52,10.71,0,0,0,451.66
981.8,8.82,0,0,0,1195.21
1002.33,7.55,0,0,0,444.31
828.31,37.69,0,0,0,360.99
709,10.56,20.46,0,0,0
705,7.16,20.46,0,0,22.03
740,12.39,20.46,0,0,373.07
754.67,24.74,20.46,0,0,377.89
754.5,24.45,20.46,0,0,385.65
751.6,19.43,20.46,0,0,366.05
765,18.28,20.46,0,0,364.68
768,9.43,20.46,0,0,365.82
752.8,14.11,20.46,0,0,317.59
753,22.59,20.46,0,0,349.75
751.5,38.41,20.46,0,0,364.7
740.5,43.53,20.46,0,0,352.77
739.67,42.33,20.46,0,0,352.77
748,47.7,20.46,0,0,330.33
745,49.66,20.46,0,0,308.14
759.67,50.89,20.46,0,0,301.23
769.2,50.82,20.46,0,0,295.21
785.6,43.97,20.46,0,0,307.62
799.33,61.84,20.46,0,0,385.98
747,47.4,20.46,0,0,323.73
638.2,9.35,17.59,0,0,4.97
636,10.14,17.59,0,0,0
720,39.36,21.16,0,0,568.23
757.68,36.55,21.16,0,0,552.64
690.58,31.82,21.16,0,0,349.24
698,14.09,21.16,0,0,979.6
685,8.08,17.59,0,0,464.3
628.03,18.02,21.16,0,0,0
622.81,27.03,17.59,0,0,6.74
648.05,24.34,19.37,0,1,114.84
719.73,26,21.16,0,0,543.72
748,41.87,21.16,0,0,940.76
682.67,22.35,17.31,0,0,556.11
578.97,19.47,17.31,0,0,137.2
537.09,31.41,19.58,0,0,599.73
488,18.06,21.85,0,0,599.73
571.55,25.41,19.72,0,0,110.53
254,25.2,21.85,0,0,102.01
692.08,11.7,17.59,0,0,441.86
690.5,12.54,17.59,0,0,463.19
750.04,20.09,17.59,0,0,365.1
714,12.19,17.59,0,0,1059.33
712,8.85,19.37,0,0,1094.86
625.83,34.06,19.72,0,0,754.67
682.12,16.69,18.69,3,0,7.53
708.75,8.23,17.59,0,0,4.39
707,7.71,17.59,0,0,7.06
637,3.15,17.59,0,0,9.81
637,3.44,17.59,0,0,0
649.27,13.39,17.59,0,0,9.81
637,3.39,17.59,0,0,10.45
645.83,9.92,17.59,0,0,20.33
653.5,15.89,17.59,0,0,119.87
647.58,7.16,17.59,0,0,7.93
644,3.95,17.59,0,0,0
641.52,15.88,17.59,0,0,6.78
641,10.34,17.59,0,0,0
639.67,6.79,17.59,0,0,6.54
963.45,5.43,0,0,0,406.62
1009.88,20.92,0,0,0,9.91
1218.28,18.9,0,0,0,0
987.85,7.76,0,0,0,691.3
998.55,8.77,0,0,0,792.84
1009.45,10.02,0,0,0,616.31
321.81,23.87,21.95,0,0,0
578.46,10.99,22.37,0,0,40.04
355.24,22.92,21.88,0,1,0
