mean_elevation (m),mean_slope,mean_precipitation (mm),imperviousness,"flooded (yes =1, no =0)",distance_to_drainage (m)
26.5,8.68,25.7,3,0,583.58
21.5,5.47,28.45,4,0,119.58
13,3.77,28.45,13,0,180.21
12.25,4.46,28.45,10,0,180.21
32.5,6.22,28.45,5,0,238.18
31,8.6,28.45,4,0,227.08
8.86,7.7,31.39,13,0,111.9
9,0.57,24.31,0,0,256.74
11.41,4.25,21.68,0,0,4.67
14.51,4.04,21.68,96,0,6.11
28,7.33,21.68,4,0,71.69
28,8.52,21.68,17,0,154.15
23,5.43,28.45,32,0,514.49
15,6.87,28.45,7,0,494.23
17,7.86,28.45,4,0,497.36
50.29,9.85,25.01,32,0,176.11
7.3,2.22,21.94,31,0,710.11
9.11,3.54,21.94,28,0,917.68
7.5,3.48,21.94,88,0,36.66
6.4,5.51,28.46,120,0,236.89
6.4,2.76,21.94,17,0,692.8
8.38,3.98,21.94,25,0,719.17
11.38,5.53,21.94,25,0,719.17
6.82,5.87,21.94,29,0,349.09
10.5,9.53,21.94,2,0,751.29
7.55,6.32,21.94,33,0,277.56
8.17,4.54,21.94,35,0,354.74
8.28,4.51,21.94,53,0,454.82
9.6,5.69,21.94,12,0,530.34
8.56,3.89,21.94,27,0,739.5
9.44,4.15,21.94,25,0,616.51
11.11,4.56,21.94,52,0,693.22
7.71,4.69,21.94,20,0,831.67
8.2,10.22,21.94,45,0,841.85
8.3,4.77,21.94,31,0,673.9
8.81,3.17,21.94,47,0,413.26
9.5,3.65,21.94,53,0,240.81
7.48,3.88,21.94,74,0,313.62
8.38,4.65,21.94,35,0,240.81
4.38,5.68,21.94,36,0,104.13
9.67,4.08,21.94,1,0,6.62
9.2,4.28,21.94,77,0,724.65
9.3,3.13,21.94,30,0,526.23
9.5,5.43,21.94,34,0,640.65
6.5,3.15,21.94,0,0,170.22
8.63,3.22,21.94,97,0,326.84
9.04,5.17,21.94,70,0,412.08
8.88,2.84,21.94,79,0,400.26
8.3,4.16,21.94,27,0,777.09
9.42,5.34,21.94,56,0,545.17
3.66,5.28,28.46,116,0,17.83
8.77,3.02,21.94,199,0,129.98
9.51,3.09,27.08,148,0,245.34
8.96,3.73,28.46,61,0,296.36
7.79,4.5,28.46,98,0,19.43
3.77,5.16,28.46,30,0,72.96
9.45,4.12,28.46,67,0,7.1
8.7,2.94,28.46,70,0,338.42
10.22,2.58,28.46,53,0,381.53
11.55,2.37,25.7,32,0,598.49
7.71,5.15,21.94,15,0,270.52
6.17,3.28,11.61,56,0,0
5.42,4.15,21.94,32,0,20.02
8.5,2.33,28.46,57,0,536.97
6,3.14,16.78,15,0,54.42
5.21,3.41,28.46,42,0,74.84
4.56,5.62,28.46,18,0,285.68
7.5,6.94,28.46,32,0,303.79
4.57,3.75,28.46,36,0,77.89
5.24,3.78,25.2,121,0,4.27
7.88,3.71,28.46,49,0,349.26
6.33,4.09,28.46,38,0,378.16
4.45,4.06,25.2,61,0,314.67
7.25,2.23,25.2,10,0,453.16
5.91,4.34,28.46,21,0,422.54
3.5,2.95,28.46,20,0,119.19
3.5,2.79,28.46,15,0,124.23
8.18,3.86,25.2,52,0,246.62
3.93,4.34,28.46,88,0,138.62
4.31,4.44,21.94,61,0,21.96
6.37,5.32,21.94,84,0,242.09
6.51,3.92,21.94,85,0,35.86
5.56,2.54,21.94,20,0,110.77
6.88,2.97,25.2,70,0,68.6
5.67,3.66,21.94,32,0,194.45
3.86,2.5,21.94,74,0,5.88
7.23,2.08,28.46,38,0,458.15
4,4.86,28.46,2,0,520.38
7.25,2.54,28.46,17,0,850.5
3.65,4.12,28.46,29,0,772.38
5.65,3.4,28.46,50,0,443.71
6.44,4.56,28.46,31,0,351.27
6,13.45,21.94,7,0,602.52
6.27,3.95,21.94,62,0,593.16
7.5,2.89,21.94,17,0,847.82
7,4.13,21.94,17,0,871.87
9.22,4.08,21.94,23,0,634.07
10,4.09,21.94,28,0,643.24
5.43,5.29,21.94,71,0,338.55
9.79,3.67,28.46,42,0,835.11
9.31,4.38,28.46,17,0,725.23
12.58,5.62,21.34,435,0,3.79
24.77,8.58,15.16,109,0,0
10.92,6.06,28.45,32,0,330.8
17.73,5.86,28.45,29,0,138.58
13.41,3.57,28.45,45,0,301.17
13.42,5.77,28.45,72,0,394.71
10.93,2.88,28.45,41,0,112.92
14.96,4.07,28.45,77,0,252.05
11.5,1.92,28.45,15,0,235.46
12.44,3.31,28.45,23,0,457.5
11.22,2.89,25.06,23,0,278.73
8.67,3.43,21.68,24,0,54.06
11.97,2.56,25.06,118,0,162.82
13.2,6.59,28.45,26,0,54.55
26.54,7.34,28.45,20,0,375.72
13.95,7.51,28.45,38,0,71.02
20.91,5.71,28.45,20,0,171.05
15.89,11.87,28.45,3,0,137.22
8.5,3.62,28.45,12,0,317.37
14.86,4.6,28.45,15,0,472.03
9.33,3.59,25.06,50,0,209.03
10.75,2.04,21.68,13,0,416.83
10.1,5.94,25.06,71,0,189.04
7.08,2.79,21.94,33,0,21.32
8.5,4.01,21.94,2,0,294.45
6.86,4.06,21.94,63,0,472.59
6.92,3.55,21.94,37,0,284.83
15.13,4.87,13.3,43,0,0
9,5.19,11.61,7,0,695.28
10.16,3.5,21.94,79,0,543.81
7.67,3.67,21.94,17,0,4.6
9.56,4.75,21.94,47,0,398.28
9.64,4.56,21.94,31,0,269.05
8.57,4.35,21.94,49,0,193.83
7.1,4.61,21.94,20,0,104.56
8.88,2.49,17.01,21,0,3.45
10,4.33,17.01,24,0,7.43
7.44,3.19,11.61,48,0,4.46
11.22,9.8,17.01,4,0,376.98
7.5,3.27,21.94,25,0,548.63
10.63,5.34,21.94,23,0,604.12
5.35,2.9,21.27,3,1,0
6.3,2.16,20.55,0,1,0
7.45,9.79,19.07,0,0,44.87
