osm_id,mean_elevation (m),mean_slope,mean_precipitation (mm),imperviousness_values,flooded,elevation,slope,precipitation,permeability
805251723,1684.00,87.50,6.93,0,1,6.69,4.29,1.49,10.00
618467048,979.98,33.65,7.00,0,1,3.89,1.65,1.51,10.00
839212326,2167.88,27.65,7.18,0,1,8.61,1.35,1.56,10.00
795191612,1267.65,20.35,7.32,0,1,5.04,0.99,1.61,10.00
963387137,1312.29,46.70,7.32,0,1,5.21,2.29,1.61,10.00
622623623,1469.99,31.49,7.47,0,1,5.84,1.54,1.65,10.00
618509502,2507.41,22.18,7.76,0,1,9.96,1.08,1.74,10.00
618509513,1799.50,28.74,7.76,0,1,7.15,1.40,1.74,10.00
849313214,1682.00,32.12,7.76,0,1,6.68,1.57,1.74,10.00
623158313,1877.70,26.60,7.94,0,1,7.46,1.30,1.79,10.00
964686688,1266.95,31.74,7.94,0,1,5.03,1.55,1.79,10.00
623158328,1849.57,46.06,7.94,0,1,7.35,2.25,1.79,10.00
876376216,1327.62,49.00,7.94,0,1,5.27,2.40,1.79,10.00
868339288,349.57,52.04,8.14,0,1,1.39,2.55,1.86,10.00
200675381,1450.78,42.94,8.18,0,1,5.76,2.10,1.87,10.00
187111301,2126.21,35.68,8.24,0,1,8.45,1.75,1.89,10.00
801346364,949.04,31.75,8.30,0,1,3.77,1.55,1.90,10.00
618073660,695.13,22.04,8.30,0,1,2.76,1.08,1.90,10.00
927023974,733.65,22.49,8.30,0,1,2.91,1.10,1.90,10.00
963342971,594.14,24.42,8.30,0,1,2.36,1.19,1.90,10.00
616374271,526.68,28.70,8.30,0,1,2.09,1.40,1.90,10.00
963343678,793.38,56.47,8.30,0,1,3.15,2.76,1.90,10.00
964684430,2094.43,31.56,8.31,0,1,8.32,1.54,1.91,10.00
616547562,1852.15,33.42,8.31,0,1,7.36,1.63,1.91,10.00
622263052,2051.92,36.03,8.31,0,1,8.15,1.76,1.91,10.00
308306301,759.40,24.26,8.32,0,1,3.02,1.18,1.91,10.00
617138004,967.76,23.26,8.35,0,1,3.84,1.14,1.92,10.00
617138000,883.12,34.98,8.35,0,1,3.51,1.71,1.92,10.00
622921622,764.68,35.59,8.35,0,1,3.04,1.74,1.92,10.00
667052749,980.53,22.97,8.44,0,1,3.89,1.12,1.95,10.00
622924364,1017.45,25.40,8.44,0,1,4.04,1.24,1.95,10.00
666783307,883.80,25.51,8.44,0,1,3.51,1.25,1.95,10.00
616239555,913.40,29.27,8.44,0,1,3.63,1.43,1.95,10.00
617178039,922.10,29.56,8.44,0,1,3.66,1.44,1.95,10.00
398668782,860.23,29.41,8.95,0,1,3.42,1.44,2.10,10.00
864983752,1902.30,42.28,9.16,0,1,7.56,2.07,2.17,10.00
839060506,2240.50,44.27,9.16,0,1,8.90,2.17,2.17,10.00
878923074,1872.57,52.08,9.16,0,1,7.44,2.55,2.17,10.00
338083492,607.53,55.30,9.17,0,1,2.41,2.71,2.17,10.00
616603923,943.73,20.79,9.24,0,1,3.75,1.01,2.19,10.00
622546774,1778.84,16.41,9.31,0,1,7.07,0.80,2.21,10.00
622546745,1820.54,21.40,9.31,0,1,7.23,1.04,2.21,10.00
622546765,1842.35,23.74,9.31,0,1,7.32,1.16,2.21,10.00
50917824,1884.67,26.69,9.31,0,1,7.49,1.30,2.21,10.00
965011321,1888.73,29.99,9.31,0,1,7.50,1.47,2.21,10.00
328809199,1922.88,30.34,9.31,0,1,7.64,1.48,2.21,10.00
619214543,1887.41,37.79,9.31,0,1,7.50,1.85,2.21,10.00
618444424,821.41,35.99,9.34,0,1,3.26,1.76,2.22,10.00
4747828,729.88,69.37,9.34,0,1,2.90,3.40,2.22,10.00
50917804,2357.90,30.53,9.39,0,1,9.37,1.49,2.24,10.00
962975378,249.02,32.01,9.53,0,1,0.99,1.56,2.28,10.00
962975383,338.50,43.97,9.53,0,1,1.34,2.15,2.28,10.00
962975382,345.38,49.35,9.53,0,1,1.37,2.42,2.28,10.00
618341054,593.12,50.12,9.53,0,1,2.36,2.45,2.28,10.00
962975387,1063.76,51.36,9.53,0,1,4.23,2.51,2.28,10.00
962975369,514.22,51.76,9.53,0,1,2.04,2.53,2.28,10.00
886610930,329.38,54.12,9.68,0,1,1.31,2.65,2.32,10.00
847105116,618.35,62.67,9.68,0,1,2.46,3.07,2.32,10.00
793939442,715.58,46.21,9.77,0,1,2.84,2.26,2.35,10.00
622916993,1945.31,30.78,9.96,0,1,7.73,1.50,2.41,10.00
618750477,1821.91,31.04,9.96,0,1,7.24,1.52,2.41,10.00
622916965,1720.10,38.10,9.96,0,1,6.83,1.86,2.41,10.00
855477589,310.70,51.55,10.02,0,1,1.23,2.52,2.43,10.00
617649255,1047.38,35.15,10.03,0,1,4.16,1.72,2.43,10.00
804890668,1260.47,37.51,10.24,0,1,5.01,1.83,2.50,10.00
957936024,193.72,66.24,10.31,0,1,0.77,3.24,2.52,10.00
1029330806,5.41,3.61,10.33,0,1,0.02,0.17,2.52,10.00
618910574,4.00,4.03,10.33,0,1,0.02,0.19,2.52,10.00
623802649,2.92,4.06,10.33,0,1,0.01,0.19,2.52,10.00
619757307,1.73,4.89,10.33,0,1,0.01,0.23,2.52,10.00
623802650,2.00,5.61,10.33,0,1,0.01,0.27,2.52,10.00
1029330808,2.35,6.21,10.33,0,1,0.01,0.30,2.52,10.00
671926177,880.41,19.86,10.75,0,1,3.50,0.97,2.65,10.00
1173042964,957.38,39.43,10.75,0,1,3.80,1.93,2.65,10.00
289022443,1740.46,35.37,10.77,0,1,6.91,1.73,2.66,10.00
870859456,1633.75,36.17,10.79,0,1,6.49,1.77,2.66,10.00
665680729,657.20,36.52,10.83,0,1,2.61,1.79,2.67,10.00
665680741,638.17,37.80,10.83,0,1,2.53,1.85,2.67,10.00
238532076,3.53,4.77,10.97,0,1,0.01,0.23,2.72,10.00
622298201,1630.27,31.10,11.01,0,1,6.48,1.52,2.73,10.00
616740963,894.59,18.63,11.04,0,1,3.55,0.91,2.74,10.00
222678352,795.91,29.49,11.04,0,1,3.16,1.44,2.74,10.00
623553778,1104.13,29.28,11.18,0,1,4.39,1.43,2.78,10.00
804924316,1142.63,41.14,11.18,0,1,4.54,2.01,2.78,10.00
618192396,614.10,18.84,11.19,0,1,2.44,0.92,2.78,10.00
